Test  | A*        | A* time   | A* len    | D* Lite   | D* time   | D* len    
663   | Path found| 0.188     | 43        | Path found| 1.716     | 43        
664   | Path found| 0.103     | 18        | Path found| 0.446     | 18        
665   | Path found| 0.164     | 25        | Path found| 0.775     | 25        
666   | Path found| 0.093     | 20        | Path found| 0.499     | 20        
667   | Path found| 0.077     | 15        | Path found| 0.358     | 15        
668   | Path found| 0.154     | 28        | Path found| 0.829     | 28        
669   | Path found| 0.064     | 14        | Path found| 0.301     | 14        
670   | Path found| 0.112     | 30        | Path found| 0.905     | 30        
671   | Path found| 0.493     | 56        | Path found| 3.076     | 56        
672   | Path found| 0.117     | 21        | Path found| 0.629     | 21        
673   | Path found| 0.483     | 62        | Path found| 4.104     | 62        
674   | Path found| 0.102     | 19        | Path found| 0.542     | 19        
675   | Path found| 0.336     | 43        | Path found| 1.080     | 43        
676   | Path found| 0.126     | 24        | Path found| 0.541     | 24        
677   | Path found| 0.240     | 41        | Path found| 1.813     | 41        
678   | Path found| 0.065     | 11        | Path found| 0.355     | 11        
679   | Path found| 0.219     | 33        | Path found| 0.942     | 33        
680   | Path found| 0.075     | 14        | Path found| 0.383     | 14        
681   | Path found| 0.479     | 41        | Path found| 2.055     | 41        
682   | Path found| 0.173     | 37        | Path found| 0.920     | 37        
683   | Path found| 0.244     | 34        | Path found| 0.451     | 34        
684   | Path found| 0.439     | 47        | Path found| 1.565     | 47        
685   | Path found| 0.292     | 61        | Path found| 3.436     | 61        
686   | Path found| 0.185     | 30        | Path found| 0.899     | 30        
687   | Path found| 0.176     | 26        | Path found| 0.867     | 26        
688   | Path found| 0.549     | 53        | Path found| 3.057     | 53        
689   | Path found| 0.207     | 47        | Path found| 1.436     | 47        
690   | Path found| 0.494     | 62        | Path found| 3.705     | 62        
691   | Path found| 0.347     | 41        | Path found| 1.628     | 41        
692   | Path found| 0.170     | 37        | Path found| 1.640     | 37        
693   | Path found| 0.262     | 63        | Path found| 4.166     | 63        
694   | Path found| 0.373     | 38        | Path found| 1.197     | 38        
695   | Path found| 0.348     | 53        | Path found| 2.836     | 53        
696   | Path found| 0.141     | 32        | Path found| 0.987     | 32        
697   | Path found| 0.059     | 19        | Path found| 0.276     | 19        
698   | Path found| 0.160     | 39        | Path found| 0.837     | 39        
699   | Path found| 0.489     | 60        | Path found| 3.199     | 60        
700   | Path found| 0.281     | 40        | Path found| 1.528     | 40        
701   | Path found| 0.144     | 28        | Path found| 0.654     | 28        
702   | Path found| 0.135     | 31        | Path found| 0.687     | 31        
703   | Path found| 0.265     | 44        | Path found| 1.825     | 44        
704   | Path found| 0.299     | 49        | Path found| 1.531     | 49        
705   | Path found| 0.179     | 33        | Path found| 0.840     | 33        
706   | Path found| 0.074     | 34        | Path found| 0.334     | 34        
707   | Path found| 0.142     | 35        | Path found| 0.728     | 35        
708   | Path found| 0.278     | 39        | Path found| 1.855     | 39        
709   | Path found| 0.260     | 57        | Path found| 3.252     | 57        
710   | Path found| 0.229     | 46        | Path found| 2.232     | 46        
711   | Path found| 0.067     | 12        | Path found| 0.312     | 12        
