Test  | A*        | A* time   | A* len    | D* Lite   | D* time   | D* len    
---------------------------------------------------------------------------------
1     | Path found| 0.383     | 46        | Path found| 3.525     | 46        
2     | Path found| 0.843     | 64        | Path found| 6.802     | 64        
3     | Path found| 1.442     | 57        | Path found| 2.959     | 57        
4     | Path found| 0.343     | 46        | Path found| 3.083     | 46        
5     | Path found| 0.628     | 61        | Path found| 6.492     | 61        
6     | Path found| 0.301     | 35        | Path found| 2.406     | 35        
7     | Path found| 0.672     | 56        | Path found| 5.251     | 56        
8     | Path found| 0.291     | 38        | Path found| 2.094     | 38        
9     | Path found| 1.130     | 39        | Path found| 2.157     | 39        
10    | Path found| 0.472     | 46        | Path found| 2.960     | 46        
11    | Path found| 0.275     | 40        | Path found| 3.110     | 40        
12    | Path found| 0.223     | 40        | Path found| 2.057     | 40        
13    | Path found| 0.528     | 44        | Path found| 2.844     | 44        
14    | Path found| 0.429     | 48        | Path found| 1.245     | 48        
15    | Path found| 0.628     | 52        | Path found| 3.861     | 52        
16    | Path found| 0.326     | 53        | Path found| 2.852     | 53        
17    | Path found| 0.153     | 39        | Path found| 0.699     | 39        
18    | Path found| 0.215     | 47        | Path found| 1.712     | 47        
19    | Path found| 1.152     | 40        | Path found| 1.559     | 40        
20    | Path found| 0.253     | 41        | Path found| 1.037     | 41        
21    | Path found| 0.348     | 43        | Path found| 1.050     | 43        
22    | Path found| 0.278     | 41        | Path found| 2.807     | 41        
23    | Path found| 0.221     | 45        | Path found| 1.106     | 45        
24    | Path found| 0.177     | 30        | Path found| 1.027     | 30        
25    | Path found| 0.509     | 57        | Path found| 2.071     | 57        
26    | Path found| 0.220     | 33        | Path found| 2.220     | 33        
27    | Path found| 0.281     | 58        | Path found| 2.584     | 58        
28    | Path found| 0.506     | 51        | Path found| 3.147     | 51        
29    | Path found| 0.292     | 46        | Path found| 2.026     | 46        
30    | Path found| 0.230     | 44        | Path found| 1.593     | 44        
31    | Path found| 0.164     | 42        | Path found| 2.646     | 42        
32    | Path found| 0.315     | 52        | Path found| 2.450     | 52        
33    | Path found| 0.225     | 38        | Path found| 1.466     | 38        
34    | Path found| 0.446     | 62        | Path found| 4.346     | 62        
35    | Path found| 0.148     | 38        | Path found| 0.897     | 38        
36    | Path found| 0.236     | 38        | Path found| 1.353     | 38        
37    | Path found| 0.215     | 40        | Path found| 2.358     | 40        
38    | Path found| 0.389     | 54        | Path found| 2.355     | 54        
39    | Path found| 0.323     | 52        | Path found| 3.849     | 52        
40    | Path found| 0.507     | 49        | Path found| 2.551     | 49        
41    | Path found| 0.200     | 33        | Path found| 0.889     | 33        
42    | Path found| 0.999     | 30        | Path found| 0.945     | 30        
43    | Path found| 0.203     | 44        | Path found| 2.182     | 44        
44    | Path found| 0.367     | 49        | Path found| 2.265     | 49        
45    | Path found| 0.147     | 31        | Path found| 0.750     | 31        
46    | Path found| 0.201     | 34        | Path found| 1.342     | 34        
47    | Path found| 0.452     | 53        | Path found| 2.694     | 53        
48    | Path found| 0.320     | 37        | Path found| 0.743     | 37        
49    | Path found| 0.264     | 34        | Path found| 0.902     | 34        
50    | Path found| 0.088     | 33        | Path found| 0.446     | 33        
51    | Path found| 0.144     | 33        | Path found| 0.731     | 33        
52    | Path found| 0.465     | 56        | Path found| 1.494     | 56        
53    | Path found| 0.169     | 35        | Path found| 1.304     | 35        
54    | Path found| 0.325     | 62        | Path found| 3.655     | 62        
55    | Path found| 0.191     | 47        | Path found| 0.978     | 47        
56    | Path found| 0.182     | 30        | Path found| 1.120     | 30        
57    | Path found| 0.208     | 36        | Path found| 1.448     | 36        
58    | Path found| 0.211     | 32        | Path found| 1.239     | 32        
59    | Path found| 0.207     | 30        | Path found| 1.101     | 30        
60    | Path found| 0.684     | 53        | Path found| 1.909     | 53        
61    | Path found| 0.091     | 44        | Path found| 0.430     | 44        
62    | Path found| 0.108     | 37        | Path found| 1.287     | 37        
63    | Path found| 0.210     | 40        | Path found| 0.535     | 40        
64    | Path found| 0.226     | 30        | Path found| 0.777     | 30        
65    | Path found| 0.259     | 49        | Path found| 1.767     | 49        
66    | Path found| 0.309     | 53        | Path found| 2.382     | 53        
67    | Path found| 0.472     | 52        | Path found| 2.281     | 52        
68    | Path found| 0.199     | 45        | Path found| 2.140     | 45        
69    | Path found| 0.146     | 41        | Path found| 0.601     | 41        
70    | Path found| 0.090     | 33        | Path found| 0.685     | 33        
71    | Path found| 0.169     | 32        | Path found| 1.315     | 32        
72    | Path found| 0.312     | 47        | Path found| 2.067     | 47        
73    | Path found| 0.156     | 34        | Path found| 0.528     | 34        
74    | Path found| 0.200     | 32        | Path found| 1.134     | 32        
75    | Path found| 0.347     | 41        | Path found| 0.796     | 41        
76    | Path found| 0.428     | 55        | Path found| 2.996     | 55        
77    | Path found| 0.206     | 44        | Path found| 1.242     | 44        
78    | Path found| 0.153     | 34        | Path found| 0.912     | 34        
79    | Path found| 0.857     | 61        | Path found| 3.705     | 61        
80    | Path found| 0.242     | 35        | Path found| 1.178     | 35        
81    | Path found| 0.072     | 31        | Path found| 0.317     | 31        
82    | Path found| 0.400     | 42        | Path found| 0.922     | 42        
83    | Path found| 0.366     | 68        | Path found| 4.770     | 68        
84    | Path found| 0.442     | 64        | Path found| 3.929     | 64        
85    | Path found| 0.289     | 44        | Path found| 1.673     | 44        
86    | Path found| 0.169     | 34        | Path found| 1.078     | 34        
87    | Path found| 0.503     | 54        | Path found| 2.077     | 54        
88    | Path found| 0.198     | 37        | Path found| 1.496     | 37        
89    | Path found| 0.097     | 35        | Path found| 0.321     | 35        
90    | Path found| 0.167     | 44        | Path found| 0.957     | 44        
91    | Path found| 0.372     | 44        | Path found| 1.619     | 44        
92    | Path found| 0.329     | 55        | Path found| 2.943     | 55        
93    | Path found| 0.206     | 30        | Path found| 0.962     | 30        
94    | Path found| 0.240     | 47        | Path found| 1.882     | 47        
95    | Path found| 0.125     | 34        | Path found| 0.986     | 34        
96    | Path found| 0.446     | 56        | Path found| 2.494     | 56        
97    | Path found| 0.553     | 56        | Path found| 3.119     | 56        
98    | Path found| 0.222     | 44        | Path found| 1.861     | 44        
99    | Path found| 0.199     | 52        | Path found| 2.507     | 52        
100   | Path found| 0.406     | 42        | Path found| 1.575     | 42        
101   | Path found| 0.189     | 35        | Path found| 1.362     | 35        
102   | Path found| 0.324     | 41        | Path found| 1.415     | 41        
103   | Path found| 0.322     | 48        | Path found| 1.610     | 48        
104   | Path found| 0.279     | 42        | Path found| 1.554     | 42        
105   | Path found| 0.250     | 37        | Path found| 1.214     | 37        
106   | Path found| 0.171     | 41        | Path found| 1.074     | 41        
107   | Path found| 0.217     | 41        | Path found| 1.424     | 41        
108   | Path found| 0.276     | 41        | Path found| 1.886     | 41        
109   | Path found| 0.203     | 45        | Path found| 1.802     | 45        
110   | Path found| 0.261     | 55        | Path found| 2.946     | 55        
111   | Path found| 0.205     | 37        | Path found| 1.116     | 37        
112   | Path found| 0.223     | 30        | Path found| 0.963     | 30        
113   | Path found| 0.461     | 47        | Path found| 1.226     | 47        
114   | Path found| 0.355     | 51        | Path found| 2.511     | 51        
115   | Path found| 0.139     | 30        | Path found| 1.015     | 30        
116   | Path found| 0.178     | 38        | Path found| 1.321     | 38        
117   | Path found| 0.140     | 38        | Path found| 0.596     | 38        
118   | Path found| 0.119     | 36        | Path found| 0.653     | 36        
119   | Path found| 0.394     | 52        | Path found| 1.755     | 52        
120   | Path found| 0.199     | 37        | Path found| 1.107     | 37        
121   | Path found| 0.302     | 51        | Path found| 2.198     | 51        
122   | Path found| 0.232     | 32        | Path found| 1.172     | 32        
123   | Path found| 0.252     | 38        | Path found| 1.403     | 38        
124   | Path found| 0.412     | 55        | Path found| 2.909     | 55        
125   | Path found| 0.903     | 71        | Path found| 4.850     | 71        
126   | Path found| 0.635     | 63        | Path found| 2.932     | 63        
127   | Path found| 0.226     | 38        | Path found| 1.325     | 38        
128   | Path found| 0.219     | 45        | Path found| 1.448     | 45        
129   | Path found| 0.195     | 37        | Path found| 1.080     | 37        
130   | Path found| 0.187     | 32        | Path found| 1.063     | 32        
131   | Path found| 0.491     | 69        | Path found| 4.469     | 69        
132   | Path found| 0.398     | 55        | Path found| 2.170     | 55        
133   | Path found| 0.228     | 37        | Path found| 1.182     | 37        
134   | Path found| 0.218     | 38        | Path found| 0.902     | 38        
135   | Path found| 0.118     | 36        | Path found| 0.790     | 36        
136   | Path found| 0.133     | 30        | Path found| 0.899     | 30        
137   | Path found| 0.153     | 38        | Path found| 1.147     | 38        
138   | Path found| 0.541     | 59        | Path found| 3.145     | 59        
139   | Path found| 0.404     | 42        | Path found| 0.981     | 42        
140   | Path found| 0.352     | 50        | Path found| 2.289     | 50        
141   | Path found| 0.649     | 54        | Path found| 3.041     | 54        
142   | Path found| 0.286     | 38        | Path found| 1.599     | 38        
143   | Path found| 0.438     | 50        | Path found| 2.279     | 50        
144   | Path found| 0.611     | 52        | Path found| 2.803     | 52        
145   | Path found| 0.495     | 55        | Path found| 3.210     | 55        
146   | Path found| 0.229     | 39        | Path found| 1.484     | 39        
147   | Path found| 0.405     | 44        | Path found| 1.175     | 44        
148   | Path found| 0.541     | 57        | Path found| 2.481     | 57        
149   | Path found| 0.162     | 33        | Path found| 1.233     | 33        
150   | Path found| 0.248     | 40        | Path found| 1.481     | 40        
151   | Path found| 0.246     | 47        | Path found| 2.610     | 47        
152   | Path found| 0.184     | 33        | Path found| 1.336     | 33        
153   | Path found| 0.078     | 34        | Path found| 0.365     | 34        
154   | Path found| 0.462     | 62        | Path found| 3.233     | 62        
155   | Path found| 0.183     | 34        | Path found| 1.075     | 34        
156   | Path found| 0.246     | 49        | Path found| 2.725     | 49        
157   | Path found| 0.104     | 32        | Path found| 0.459     | 32        
158   | Path found| 0.188     | 33        | Path found| 0.921     | 33        
159   | Path found| 0.201     | 41        | Path found| 1.283     | 41        
160   | Path found| 0.125     | 33        | Path found| 0.637     | 33        
161   | Path found| 0.467     | 50        | Path found| 1.857     | 50        
162   | Path found| 0.585     | 48        | Path found| 1.958     | 48        
163   | Path found| 0.215     | 35        | Path found| 1.241     | 35        
164   | Path found| 0.271     | 42        | Path found| 1.730     | 42        
165   | Path found| 0.384     | 46        | Path found| 2.251     | 46        
166   | Path found| 0.532     | 62        | Path found| 3.713     | 62        
167   | Path found| 0.401     | 50        | Path found| 1.705     | 50        
168   | Path found| 0.190     | 45        | Path found| 0.905     | 45        
169   | Path found| 0.529     | 80        | Path found| 6.455     | 80        
170   | Path found| 0.210     | 48        | Path found| 1.718     | 48        
171   | Path found| 0.271     | 53        | Path found| 2.989     | 53        
172   | Path found| 0.486     | 47        | Path found| 2.106     | 47        
173   | Path found| 0.140     | 30        | Path found| 1.099     | 30        
174   | Path found| 0.356     | 53        | Path found| 2.391     | 53        
175   | Path found| 0.407     | 43        | Path found| 1.268     | 43        
176   | Path found| 0.433     | 57        | Path found| 3.072     | 57        
177   | Path found| 0.188     | 36        | Path found| 0.842     | 36        
178   | Path found| 0.122     | 38        | Path found| 0.530     | 38        
179   | Path found| 0.288     | 43        | Path found| 1.499     | 43        
180   | Path found| 0.279     | 53        | Path found| 2.938     | 53        
181   | Path found| 0.319     | 57        | Path found| 3.108     | 57        
182   | Path found| 0.434     | 53        | Path found| 2.914     | 53        
183   | Path found| 0.229     | 30        | Path found| 0.989     | 30        
184   | Path found| 0.494     | 62        | Path found| 3.726     | 62        
185   | Path found| 0.477     | 53        | Path found| 1.754     | 53        
186   | Path found| 0.236     | 33        | Path found| 1.288     | 33        
187   | Path found| 0.231     | 36        | Path found| 1.640     | 36        
188   | Path found| 0.195     | 43        | Path found| 1.327     | 43        
189   | Path found| 0.254     | 40        | Path found| 1.512     | 40        
190   | Path found| 0.176     | 33        | Path found| 1.066     | 33        
191   | Path found| 0.434     | 52        | Path found| 2.356     | 52        
192   | Path found| 0.418     | 63        | Path found| 3.711     | 63        
193   | Path found| 0.301     | 37        | Path found| 1.648     | 37        
194   | Path found| 0.442     | 46        | Path found| 1.049     | 46        
195   | Path found| 0.240     | 43        | Path found| 1.643     | 43        
196   | Path found| 0.192     | 42        | Path found| 1.005     | 42        
197   | Path found| 0.229     | 36        | Path found| 1.185     | 36        
198   | Path found| 0.077     | 31        | Path found| 0.336     | 31        
199   | Path found| 0.247     | 35        | Path found| 0.580     | 35        
200   | Path found| 0.194     | 37        | Path found| 1.575     | 37        
201   | Path found| 0.572     | 49        | Path found| 2.153     | 49        
202   | Path found| 0.610     | 49        | Path found| 2.573     | 49        
203   | Path found| 0.224     | 38        | Path found| 1.369     | 38        
204   | Path found| 0.132     | 40        | Path found| 0.714     | 40        
205   | Path found| 0.359     | 60        | Path found| 3.249     | 60        
206   | Path found| 0.356     | 47        | Path found| 2.372     | 47        
207   | Path found| 0.373     | 44        | Path found| 1.524     | 44        
208   | Path found| 0.146     | 36        | Path found| 0.537     | 36        
209   | Path found| 0.132     | 31        | Path found| 0.577     | 31        
210   | Path found| 0.272     | 37        | Path found| 1.321     | 37        
211   | Path found| 0.216     | 34        | Path found| 1.014     | 34        
212   | Path found| 0.494     | 51        | Path found| 2.597     | 51        
213   | Path found| 0.137     | 38        | Path found| 1.629     | 38        
214   | Path found| 0.575     | 67        | Path found| 3.089     | 67        
215   | Path found| 0.085     | 36        | Path found| 0.494     | 36        
216   | Path found| 0.149     | 35        | Path found| 0.436     | 35        
217   | Path found| 0.177     | 30        | Path found| 1.091     | 30        
218   | Path found| 0.546     | 58        | Path found| 2.271     | 58        
219   | Path found| 1.005     | 66        | Path found| 4.641     | 66        
220   | Path found| 0.549     | 58        | Path found| 1.989     | 58        
221   | Path found| 0.825     | 74        | Path found| 5.163     | 74        
222   | Path found| 0.172     | 42        | Path found| 0.443     | 42        
223   | Path found| 0.209     | 35        | Path found| 1.478     | 35        
224   | Path found| 0.203     | 39        | Path found| 1.148     | 39        
225   | Path found| 0.543     | 62        | Path found| 4.148     | 62        
226   | Path found| 0.169     | 41        | Path found| 1.245     | 41        
227   | Path found| 0.310     | 52        | Path found| 1.947     | 52        
