Test  | A*        | A* time   | A* len    | D* Lite   | D* time   | D* len    
---------------------------------------------------------------------------------
1     | Path found| 1.640     | 71        | Path found| 9.038     | 71        
2     | Path found| 1.228     | 77        | Path found| 7.966     | 77        
3     | Path found| 0.683     | 76        | Path found| 7.444     | 76        
4     | Path found| 1.058     | 73        | Path found| 6.379     | 73        
5     | Path found| 0.635     | 74        | Path found| 6.481     | 74        
6     | Path found| 0.756     | 71        | Path found| 6.196     | 71        
7     | Path found| 0.635     | 70        | Path found| 5.776     | 70        
8     | Path found| 0.528     | 75        | Path found| 5.968     | 75        
9     | Path found| 0.361     | 76        | Path found| 5.921     | 76        
10    | Path found| 0.433     | 74        | Path found| 5.875     | 74        
11    | Path found| 0.786     | 70        | Path found| 5.070     | 70        
12    | Path found| 1.111     | 71        | Path found| 5.291     | 71        
13    | Path found| 0.834     | 76        | Path found| 6.207     | 76        
14    | Path found| 1.274     | 74        | Path found| 5.547     | 74        
15    | Path found| 0.862     | 71        | Path found| 4.911     | 71        
16    | Path found| 0.800     | 75        | Path found| 5.482     | 75        
17    | Path found| 0.476     | 72        | Path found| 5.073     | 72        
18    | Path found| 0.836     | 71        | Path found| 5.311     | 71        
19    | Path found| 0.891     | 79        | Path found| 6.480     | 79        
20    | Path found| 0.597     | 70        | Path found| 5.005     | 70        
21    | Path found| 0.486     | 82        | Path found| 6.923     | 82        
22    | Path found| 0.848     | 79        | Path found| 6.531     | 79        
23    | Path found| 0.868     | 77        | Path found| 6.108     | 77        
24    | Path found| 0.980     | 82        | Path found| 7.142     | 82        
25    | Path found| 0.532     | 70        | Path found| 5.000     | 70        
26    | Path found| 0.561     | 70        | Path found| 5.129     | 70        
27    | Path found| 0.519     | 72        | Path found| 5.304     | 72        
28    | Path found| 0.524     | 73        | Path found| 5.569     | 73        
29    | Path found| 0.448     | 74        | Path found| 5.776     | 74        
30    | Path found| 0.461     | 80        | Path found| 6.757     | 80        
31    | Path found| 0.486     | 71        | Path found| 4.995     | 71        
32    | Path found| 0.996     | 73        | Path found| 5.568     | 73        
33    | Path found| 1.208     | 74        | Path found| 5.660     | 74        
34    | Path found| 0.888     | 79        | Path found| 6.475     | 79        
35    | Path found| 0.471     | 76        | Path found| 5.719     | 76        
36    | Path found| 0.540     | 78        | Path found| 6.081     | 78        
37    | Path found| 0.537     | 78        | Path found| 6.241     | 78        
38    | Path found| 0.430     | 74        | Path found| 5.341     | 74        
39    | Path found| 0.502     | 70        | Path found| 4.966     | 70        
40    | Path found| 0.521     | 77        | Path found| 6.262     | 77        
41    | Path found| 0.860     | 72        | Path found| 3.840     | 72        
42    | Path found| 0.412     | 74        | Path found| 5.474     | 74        
43    | Path found| 1.037     | 84        | Path found| 7.065     | 84        
44    | Path found| 1.066     | 72        | Path found| 5.329     | 72        
45    | Path found| 0.486     | 72        | Path found| 5.508     | 72        
46    | Path found| 1.389     | 78        | Path found| 6.277     | 78        
47    | Path found| 0.497     | 70        | Path found| 5.036     | 70        
48    | Path found| 0.883     | 70        | Path found| 4.888     | 70        
49    | Path found| 0.468     | 77        | Path found| 6.241     | 77        
50    | Path found| 0.915     | 71        | Path found| 4.972     | 71        
51    | Path found| 0.473     | 72        | Path found| 5.412     | 72        
52    | Path found| 0.517     | 72        | Path found| 5.281     | 72        
53    | Path found| 0.481     | 75        | Path found| 5.686     | 75        
54    | Path found| 1.043     | 78        | Path found| 6.153     | 78        
55    | Path found| 0.865     | 75        | Path found| 5.778     | 75        
56    | Path found| 0.552     | 70        | Path found| 4.949     | 70        
57    | Path found| 1.240     | 73        | Path found| 5.235     | 73        
58    | Path found| 0.966     | 70        | Path found| 4.745     | 70        
59    | Path found| 0.386     | 81        | Path found| 6.706     | 81        
60    | Path found| 0.662     | 79        | Path found| 6.634     | 79        
61    | Path found| 1.089     | 71        | Path found| 4.959     | 71        
62    | Path found| 0.470     | 70        | Path found| 4.902     | 70        
63    | Path found| 0.905     | 78        | Path found| 6.231     | 78        
64    | Path found| 0.508     | 71        | Path found| 4.987     | 71        
65    | Path found| 0.507     | 79        | Path found| 7.502     | 79        
66    | Path found| 0.443     | 70        | Path found| 5.256     | 70        
67    | Path found| 0.889     | 70        | Path found| 5.118     | 70        
68    | Path found| 0.486     | 70        | Path found| 4.978     | 70        
69    | Path found| 1.015     | 84        | Path found| 7.559     | 84        
70    | Path found| 0.846     | 71        | Path found| 5.032     | 71        
71    | Path found| 0.540     | 71        | Path found| 5.275     | 71        
72    | Path found| 0.831     | 73        | Path found| 5.668     | 73        
73    | Path found| 0.596     | 77        | Path found| 5.694     | 77        
74    | Path found| 0.504     | 72        | Path found| 5.121     | 72        
75    | Path found| 0.909     | 76        | Path found| 5.933     | 76        
76    | Path found| 0.672     | 71        | Path found| 5.005     | 71        
77    | Path found| 0.729     | 76        | Path found| 6.028     | 76        
78    | Path found| 0.478     | 75        | Path found| 5.947     | 75        
79    | Path found| 0.466     | 70        | Path found| 5.183     | 70        
